2020-08-12 10:39:26,018 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:177 - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@33990a0c, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4de4b452, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@50b5ac82, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@101952da, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6babf3bf, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3059cbc, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7ea9e1e2, org.springframework.test.context.event.EventPublishingTestExecutionListener@24fcf36f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@10feca44, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3fb1549b, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@ea6147e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4d02f94e, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@2b48a640, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@1e683a3e]
2020-08-12 10:39:28,214 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] StartupInfoLogger.java:55 - Starting YellowTomatoesGeneratorTest on DESKTOP-12K8J29 with PID 40820 (started by shang in C:\Users\shang\IdeaProjects\yellow-tomatoes\yellow-tomatoes-system)
2020-08-12 10:39:28,217 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] SpringApplication.java:655 - The following profiles are active: dev
2020-08-12 10:39:31,337 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - Skipping MapperFactoryBean with name 'sysUserMapper' and 'SysUserMapper' mapperInterface. Bean already defined with the same name!
2020-08-12 10:39:31,338 [main] WARN  [org.mybatis.spring.mapper.ClassPathMapperScanner] Logger.java:44 - No MyBatis mapper was found in '[com.scd.yellowtomatoes]' package. Please check your configuration.
2020-08-12 10:39:32,154 [main] INFO  [c.a.d.s.b.a.DruidDataSourceAutoConfigure] DruidDataSourceAutoConfigure.java:56 - Init DruidDataSource
2020-08-12 10:39:35,714 [main] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:930 - {dataSource-1} inited
2020-08-12 10:39:39,499 [main] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:181 - Initializing ExecutorService 'applicationTaskExecutor'
2020-08-12 10:39:41,418 [main] INFO  [c.s.y.YellowTomatoesGeneratorTest] StartupInfoLogger.java:61 - Started YellowTomatoesGeneratorTest in 14.941 seconds (JVM running for 20.253)
2020-08-12 10:39:42,625 [SpringContextShutdownHook] INFO  [o.s.scheduling.concurrent.ThreadPoolTaskExecutor] ExecutorConfigurationSupport.java:218 - Shutting down ExecutorService 'applicationTaskExecutor'
2020-08-12 10:39:42,702 [SpringContextShutdownHook] INFO  [com.alibaba.druid.pool.DruidDataSource] DruidDataSource.java:1825 - {dataSource-1} closed
2020-08-12 10:40:29,575 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] AbstractTestContextBootstrapper.java:308 - Neither @ContextConfiguration nor @ContextHierarchy found for test class [YellowTomatoesGeneratorTest], using SpringBootContextLoader
2020-08-12 10:40:29,589 [main] INFO  [o.s.test.context.support.AbstractContextLoader] AbstractContextLoader.java:264 - Could not detect default resource locations for test class [YellowTomatoesGeneratorTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-12 10:40:29,592 [main] INFO  [o.s.t.c.support.AnnotationConfigContextLoaderUtils] AnnotationConfigContextLoaderUtils.java:83 - Could not detect default configuration classes for test class [YellowTomatoesGeneratorTest]: YellowTomatoesGeneratorTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-12 10:40:30,264 [main] INFO  [o.s.b.t.context.SpringBootTestContextBootstrapper] SpringBootTestContextBootstrapper.java:237 - Found @SpringBootConfiguration YellowTomatoesSystemApplication for test class YellowTomatoesGeneratorTest
